Name,Genres
"To Kill a Mockingbird (To Kill a Mockingbird, #1)","['Classics', 'Historical', 'Academic']"
1984,"['Classics', 'Science', 'Science']"
The Great Gatsby,"['Classics', 'Academic', 'Historical', 'Romance', 'Academic']"
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",['Fantasy']
Animal Farm,"['Classics', 'Science', 'Fantasy']"
"The Hobbit, or There and Back Again","['Fantasy', 'Classics', 'Adventure', 'Science', 'Fantasy', 'Fantasy']"
The Diary of a Young Girl,"['Classics', 'Biography', 'Autobiography']"
Fahrenheit 451,"['Classics', 'Science', 'Science']"
The Catcher in the Rye,"['Classics', 'Academic', 'Academic']"
The Grapes of Wrath,"['Classics', 'Historical']"
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)","['Fantasy', 'Classics']"
One Hundred Years of Solitude,['Classics']
Brave New World,"['Classics', 'Science', 'Science']"
The Little Prince & Letter to a Hostage,"['Classics', 'Fantasy']"
Gone with the Wind,"['Classics', 'Historical', 'Romance', 'Historical']"
Of Mice and Men,"['Classics', 'Academic', 'Historical']"
"The Giver (The Giver, #1)","['Classics', 'Science', 'Science']"
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",['Fantasy']
Il signore delle mosche,"['Classics', 'Academic']"
Slaughterhouse-Five,"['Classics', 'Science', 'War']"
Lolita,['Classics']
East of Eden,"['Classics', 'Historical']"
One Flew Over the Cuckoo's Nest,['Classics']
"The Handmaid's Tale (The Handmaid's Tale, #1)","['Classics', 'Science', 'Science']"
"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)","['Science', 'Fantasy', 'Classics']"
Memoirs of a Geisha,"['Historical', 'Romance', 'Historical', 'Classics']"
"The Fellowship of the Ring (The Lord of the Rings, #1)","['Fantasy', 'Classics', 'Adventure', 'Science', 'Fantasy', 'Fantasy', 'Fantasy']"
The Stranger,['Classics']
Charlotte's Web,['Classics']
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","['Fantasy', 'Fantasy', 'Adventure', 'Classics', 'Science']"
"The Chronicles of Narnia (Chronicles of Narnia, #1-7)","['Fantasy', 'Classics']"
"A Wrinkle in Time (Time Quintet, #1)","['Fantasy', 'Classics', 'Science']"
The Old Man and the Sea,['Classics']
"Ender's Game (Ender's Saga, #1)","['Science', 'Fantasy', 'Classics', 'Science', 'Science', 'War', 'Adventure']"
The Giving Tree,['Classics']
"The Return of the King (The Lord of the Rings, #3)","['Fantasy', 'Classics', 'Adventure']"
The Bell Jar,['Classics']
A Tree Grows in Brooklyn,"['Classics', 'Historical']"
"The Two Towers (The Lord of the Rings, #2)","['Fantasy', 'Classics', 'Adventure']"
"Night (The Night Trilogy, #1)","['Classics', 'Autobiography']"
"Watership Down (Watership Down, #1)","['Classics', 'Fantasy']"
The Alchemist,"['Classics', 'Fantasy']"
"Anne of Green Gables (Anne of Green Gables, #1)","['Classics', 'Historical']"
In Cold Blood,"['Classics', 'Crime', 'Mystery', 'Mystery']"
Green Eggs and Ham,['Classics']
Atlas Shrugged,['Classics']
Siddhartha,['Classics']
The Color Purple,"['Classics', 'Historical']"
The Poisonwood Bible,"['Historical', 'Classics']"
Love in the Time of Cholera,"['Classics', 'Historical', 'Romance']"
The Complete Sherlock Holmes,"['Classics', 'Mystery', 'Mystery']"
The Metamorphosis,"['Classics', 'Fantasy']"
A Prayer for Owen Meany,['Classics']
